datetime,rolling_rms
2017-05-17 07:01:00,2.7461427
2017-05-17 07:02:00,2.367172
2017-05-17 07:03:00,2.0621397
2017-05-17 07:04:00,2.4188791
2017-05-17 07:05:00,2.6889416
2017-05-17 07:06:00,2.7282471
2017-05-17 07:07:00,2.2111985
2017-05-17 07:08:00,2.6018037
2017-05-17 07:09:00,2.1944439
2017-05-17 07:10:00,3.0199818
2017-05-17 07:11:00,2.4440234
2017-05-17 07:12:00,2.2232007
2017-05-17 07:13:00,3.1646908
2017-05-17 07:14:00,2.6855674
2017-05-17 07:15:00,2.3162585
2017-05-17 07:16:00,2.5212494
2017-05-17 07:17:00,2.6245384
2017-05-17 07:18:00,2.8237952
2017-05-17 07:19:00,2.3836383
2017-05-17 07:20:00,2.2422479
2017-05-17 07:21:00,2.4271656
2017-05-17 07:22:00,2.7520944
2017-05-17 07:23:00,2.2446612
2017-05-17 07:24:00,2.3450206
2017-05-17 07:25:00,2.519677
2017-05-17 07:26:00,2.618135
2017-05-17 07:27:00,2.9516674
2017-05-17 07:28:00,2.4812683
2017-05-17 07:29:00,3.00836
2017-05-17 07:30:00,2.3019155
2017-05-17 07:31:00,2.6018659
2017-05-17 07:32:00,2.2322018
2017-05-17 07:33:00,1.985192
2017-05-17 07:34:00,2.356194
2017-05-17 07:35:00,2.4694895
2017-05-17 07:36:00,2.3901431
2017-05-17 07:37:00,2.6633639
2017-05-17 07:38:00,2.3825975
2017-05-17 07:39:00,2.0763193
2017-05-17 07:40:00,3.1164386
2017-05-17 07:41:00,2.9454653
2017-05-17 07:42:00,2.7124492
2017-05-17 07:43:00,2.4943053
2017-05-17 07:44:00,2.5267287
2017-05-17 07:45:00,2.3295057
2017-05-17 07:46:00,2.7183186
2017-05-17 07:47:00,2.6209053
2017-05-17 07:48:00,2.5287961
2017-05-17 07:49:00,2.7877123
2017-05-17 07:50:00,2.7057599
2017-05-17 07:51:00,2.2400556
2017-05-17 07:52:00,3.0465366
2017-05-17 07:53:00,2.3684617
2017-05-17 07:54:00,2.166286
2017-05-17 07:55:00,2.2687193
2017-05-17 07:56:00,2.5401996
2017-05-17 07:57:00,3.0503398
2017-05-17 07:58:00,3.0187123
2017-05-17 07:59:00,2.6916102
2017-05-18 00:00:00,2.2558631
2017-05-18 00:01:00,3.5602913
2017-05-18 00:02:00,2.6855233
2017-05-18 00:03:00,2.9262174
2017-05-18 00:04:00,2.3968257
2017-05-18 00:05:00,2.478651
2017-05-18 00:06:00,2.8789885
2017-05-18 00:07:00,3.1869701
2017-05-18 00:08:00,2.1597633
2017-05-18 00:09:00,2.5931695
2017-05-18 00:10:00,2.2853516
2017-05-18 00:11:00,3.2136724
2017-05-18 00:12:00,2.7576085
2017-05-18 00:13:00,2.4928352
2017-05-18 00:14:00,2.2948079
2017-05-18 00:15:00,3.3937642
2017-05-18 00:16:00,2.4048771
2017-05-18 00:17:00,2.7451003
2017-05-18 00:18:00,2.2982071
2017-05-18 00:19:00,2.2699381
2017-05-18 00:20:00,2.6658433
2017-05-18 00:21:00,3.352353
2017-05-18 00:22:00,2.5210918
2017-05-18 00:23:00,2.5759883
2017-05-18 00:24:00,3.2127312
2017-05-18 00:25:00,2.4973512
2017-05-18 00:26:00,2.9948114
2017-05-18 00:27:00,2.171977
2017-05-18 00:28:00,2.9278954
2017-05-18 00:29:00,3.5129103
2017-05-18 00:30:00,3.13515
2017-05-18 00:31:00,2.5948565
2017-05-18 00:32:00,2.6243492
2017-05-18 00:33:00,2.9248145
2017-05-18 00:34:00,2.1552116
2017-05-18 00:35:00,2.3836427
2017-05-18 00:36:00,2.7867765
2017-05-18 00:37:00,2.5349575
2017-05-18 00:38:00,2.7741566
2017-05-18 00:39:00,2.5227433
2017-05-18 00:40:00,2.8396893
2017-05-18 00:41:00,3.061016
2017-05-18 00:42:00,2.937269
2017-05-18 00:43:00,2.6702325
2017-05-18 00:44:00,2.2686811
2017-05-18 00:45:00,2.8253082
2017-05-18 00:46:00,3.2179702
2017-05-18 00:47:00,2.7670736
2017-05-18 00:48:00,2.2961479
2017-05-18 00:49:00,2.4998652
2017-05-18 00:50:00,2.5708515
2017-05-18 00:51:00,2.1999989
2017-05-18 00:52:00,2.4061373
2017-05-18 00:53:00,2.5827333
2017-05-18 00:54:00,2.2441412
2017-05-18 00:55:00,2.6126229
2017-05-18 00:56:00,2.4545134
2017-05-18 00:57:00,2.3950205
2017-05-18 00:58:00,2.5946692
2017-05-18 00:59:00,3.7871074
2017-05-18 01:00:00,2.2878145
2017-05-18 01:01:00,2.2167435
2017-05-18 01:02:00,2.8714637
2017-05-18 01:03:00,2.2879545
2017-05-18 01:04:00,2.6305212
2017-05-18 01:05:00,2.3431504
2017-05-18 01:06:00,2.5462655
2017-05-18 01:07:00,2.9732932
2017-05-18 01:08:00,2.2317415
2017-05-18 01:09:00,2.4073675
2017-05-18 01:10:00,2.4411279
2017-05-18 01:11:00,2.4472094
2017-05-18 01:12:00,2.2788979
2017-05-18 01:13:00,2.2342815
2017-05-18 01:14:00,2.6010461
2017-05-18 01:15:00,2.2378735
2017-05-18 01:16:00,3.18819
2017-05-18 01:17:00,2.4581768
2017-05-18 01:18:00,2.32402
2017-05-18 01:19:00,2.9513935
2017-05-18 01:20:00,2.7129768
2017-05-18 01:21:00,3.5392577
2017-05-18 01:22:00,2.9827081
2017-05-18 01:23:00,3.3681174
2017-05-18 01:24:00,2.2768884
2017-05-18 01:25:00,3.4016683
2017-05-18 01:26:00,3.2057654
2017-05-18 01:27:00,2.4941463
2017-05-18 01:28:00,2.4268489
2017-05-18 01:29:00,3.1393605
2017-05-18 01:30:00,3.6278722
2017-05-18 01:31:00,2.8005539
2017-05-18 01:32:00,2.5634791
2017-05-18 01:33:00,2.5914383
2017-05-18 01:34:00,2.5872453
2017-05-18 01:35:00,3.3201073
2017-05-18 01:36:00,3.0332259
2017-05-18 01:37:00,2.7488354
2017-05-18 01:38:00,2.2005723
2017-05-18 01:39:00,2.5281885
2017-05-18 01:40:00,3.0664012
2017-05-18 01:41:00,2.1103537
2017-05-18 01:42:00,2.4415329
2017-05-18 01:43:00,2.5258881
2017-05-18 01:44:00,2.5153283
2017-05-18 01:45:00,3.5321584
2017-05-18 01:46:00,2.7968701
2017-05-18 01:47:00,3.4202701
2017-05-18 01:48:00,2.6932919
2017-05-18 01:49:00,2.6658402
2017-05-18 01:50:00,2.5816418
2017-05-18 01:51:00,2.6812861
2017-05-18 01:52:00,2.4832209
2017-05-18 01:53:00,2.1563782
2017-05-18 01:54:00,3.516441
2017-05-18 01:55:00,2.5399962
2017-05-18 01:56:00,2.3634615
2017-05-18 01:57:00,2.820178
2017-05-18 01:58:00,2.1336639
2017-05-18 01:59:00,2.5959434
2017-05-18 02:00:00,2.7863101
2017-05-18 02:01:00,2.6668572
2017-05-18 02:02:00,3.0550743
2017-05-18 02:03:00,2.615492
2017-05-18 02:04:00,2.8302695
2017-05-18 02:05:00,2.6228689
2017-05-18 02:06:00,3.199777
2017-05-18 02:07:00,2.0294948
2017-05-18 02:08:00,2.9485307
2017-05-18 02:09:00,2.4875724
2017-05-18 02:10:00,2.4334631
2017-05-18 02:11:00,2.7752258
2017-05-18 02:12:00,2.6112519
2017-05-18 02:13:00,2.4985337
2017-05-18 02:14:00,2.1346245
2017-05-18 02:15:00,2.5682173
2017-05-18 02:16:00,3.0287015
2017-05-18 02:17:00,3.198415
2017-05-18 02:18:00,2.630176
2017-05-18 02:19:00,2.8609887
2017-05-18 02:20:00,2.1700544
2017-05-18 02:21:00,2.3904821
2017-05-18 02:22:00,2.2495909
2017-05-18 02:23:00,3.2669811
2017-05-18 02:24:00,2.82187
2017-05-18 02:25:00,2.1551665
2017-05-18 02:26:00,2.5082744
2017-05-18 02:27:00,2.3068321
2017-05-18 02:28:00,2.6939808
2017-05-18 02:29:00,3.6059529
2017-05-18 02:30:00,2.5043232
2017-05-18 02:31:00,2.4428497
2017-05-18 02:32:00,2.5036202
2017-05-18 02:33:00,2.4325341
2017-05-18 02:34:00,2.660316
2017-05-18 02:35:00,2.9772124
2017-05-18 02:36:00,2.6731937
2017-05-18 02:37:00,3.5807243
2017-05-18 02:38:00,3.0333606
2017-05-18 02:39:00,2.7914946
2017-05-18 02:40:00,2.923348
2017-05-18 02:41:00,3.1270395
2017-05-18 02:42:00,2.3668179
2017-05-18 02:43:00,2.7482915
2017-05-18 02:44:00,2.4403017
2017-05-18 02:45:00,2.7886642
2017-05-18 02:46:00,2.3689706
2017-05-18 02:47:00,2.4002801
2017-05-18 02:48:00,2.2522821
2017-05-18 02:49:00,2.3713246
2017-05-18 02:50:00,2.8562344
2017-05-18 02:51:00,2.9753162
2017-05-18 02:52:00,2.8054702
2017-05-18 02:53:00,2.1931744
2017-05-18 02:54:00,2.4747433
2017-05-18 02:55:00,3.2505281
2017-05-18 02:56:00,2.5786018
2017-05-18 02:57:00,2.9512442
2017-05-18 02:58:00,2.6460286
2017-05-18 02:59:00,2.5992438
2017-05-18 03:00:00,2.563185
2017-05-18 03:01:00,2.6065672
2017-05-18 03:02:00,2.734348
2017-05-18 03:03:00,2.4486502
2017-05-18 03:04:00,2.8335958
2017-05-18 03:05:00,2.7668072
2017-05-18 03:06:00,2.5892286
2017-05-18 03:07:00,3.0641616
2017-05-18 03:08:00,2.8619851
2017-05-18 03:09:00,2.6859067
2017-05-18 03:10:00,2.4732552
2017-05-18 03:11:00,3.3541181
2017-05-18 03:12:00,3.0649091
2017-05-18 03:13:00,2.5819853
2017-05-18 03:14:00,2.938498
