datetime,location,count_operation,count_change,count_total
3/25/17 16:18,Georgetown,+,1,16
3/25/17 16:18,Georgetown,+,1,17
3/25/17 16:19,Georgetown,-,1,16
3/25/17 16:19,Georgetown,-,1,15
3/25/17 16:19,Georgetown,-,1,14
3/25/17 16:32,Georgetown,-,1,13
3/25/17 16:35,Georgetown,x,13,0
4/1/17 9:06,Georgetown,+,1,1
4/1/17 9:06,Georgetown,+,1,2
4/1/17 9:06,Georgetown,+,1,3
4/1/17 9:06,Georgetown,+,1,4
4/1/17 9:06,Georgetown,+,1,5
4/1/17 9:06,Georgetown,+,1,6
4/1/17 9:06,Georgetown,+,1,7
4/1/17 9:06,Georgetown,+,1,8
4/1/17 9:06,Georgetown,+,1,9
4/1/17 9:06,Georgetown,+,1,10
4/1/17 9:06,Georgetown,+,1,11
4/1/17 9:06,Georgetown,+,1,12
4/1/17 9:06,Georgetown,+,1,13
4/1/17 9:06,Georgetown,+,1,14
4/1/17 9:06,Georgetown,+,1,15
4/1/17 9:06,Georgetown,+,1,16
4/1/17 9:06,Georgetown,+,1,17
4/1/17 9:06,Georgetown,+,1,18
4/1/17 9:06,Georgetown,+,1,19
4/1/17 9:06,Georgetown,+,1,20
4/1/17 9:06,Georgetown,+,1,21
4/1/17 9:06,Georgetown,+,1,22
4/1/17 9:06,Georgetown,+,1,23
4/1/17 9:06,Georgetown,+,1,24
4/1/17 9:06,Georgetown,+,1,25
4/1/17 9:06,Georgetown,+,1,26
4/1/17 9:06,Georgetown,+,1,27
4/1/17 9:06,Georgetown,+,1,28
4/1/17 9:06,Georgetown,+,1,29
4/1/17 9:06,Georgetown,+,1,30
4/1/17 9:06,Georgetown,+,1,31
4/1/17 9:25,Georgetown,-,1,30
4/1/17 9:28,Georgetown,+,1,31
4/1/17 9:52,Georgetown,-,1,30
4/1/17 9:58,Georgetown,+,1,31
4/1/17 10:01,Georgetown,-,1,30
4/1/17 10:01,Georgetown,-,1,29
4/1/17 10:01,Georgetown,-,1,28
4/1/17 10:01,Georgetown,-,1,27
4/1/17 10:01,Georgetown,-,1,26
4/1/17 10:01,Georgetown,-,1,25
4/1/17 10:01,Georgetown,-,1,24
4/1/17 10:01,Georgetown,-,1,23
4/1/17 10:01,Georgetown,-,1,22
4/1/17 10:01,Georgetown,-,1,21
4/1/17 10:01,Georgetown,-,1,20
4/1/17 10:02,Georgetown,-,1,19
4/1/17 10:02,Georgetown,-,1,18
4/1/17 10:02,Georgetown,-,1,17
4/1/17 10:03,Georgetown,-,1,16
4/1/17 10:04,Georgetown,+,1,17
4/1/17 10:04,Georgetown,+,1,18
4/1/17 10:04,Georgetown,-,1,17
4/1/17 10:04,Georgetown,-,1,16
4/1/17 10:04,Georgetown,-,1,15
4/1/17 10:04,Georgetown,-,1,14
4/1/17 10:05,Georgetown,-,1,13
4/1/17 10:05,Georgetown,+,1,14
4/1/17 10:05,Georgetown,+,1,15
4/1/17 10:05,Georgetown,-,1,14
4/1/17 10:05,Georgetown,+,1,15
4/1/17 10:05,Georgetown,+,1,16
4/1/17 10:06,Georgetown,+,1,17
4/1/17 10:06,Georgetown,+,1,18
4/1/17 10:06,Georgetown,+,1,19
4/1/17 10:06,Georgetown,+,1,20
4/1/17 10:06,Georgetown,+,1,21
4/1/17 10:06,Georgetown,+,1,22
4/1/17 10:06,Georgetown,+,1,23
4/1/17 10:06,Georgetown,-,1,22
4/1/17 10:07,Georgetown,+,1,23
4/1/17 10:09,Georgetown,+,1,24
4/1/17 10:09,Georgetown,+,1,25
4/1/17 10:09,Georgetown,+,1,26
4/1/17 10:09,Georgetown,+,1,27
4/1/17 10:09,Georgetown,+,1,28
4/1/17 10:10,Georgetown,-,1,27
4/1/17 10:10,Georgetown,+,1,28
4/1/17 10:10,Georgetown,+,1,29
4/1/17 10:10,Georgetown,+,1,30
4/1/17 10:12,Georgetown,+,1,31
4/1/17 10:12,Georgetown,-,1,30
4/1/17 10:17,Georgetown,+,1,31
4/1/17 10:55,Georgetown,-,1,30
4/1/17 10:58,Georgetown,+,1,31
4/1/17 11:02,Georgetown,-,1,30
4/1/17 11:02,Georgetown,-,1,29
4/1/17 11:02,Georgetown,-,1,28
4/1/17 11:02,Georgetown,-,1,27
4/1/17 11:02,Georgetown,-,1,26
4/1/17 11:02,Georgetown,-,1,25
4/1/17 11:02,Georgetown,-,1,24
4/1/17 11:02,Georgetown,-,1,23
4/1/17 11:03,Georgetown,-,1,22
4/1/17 11:03,Georgetown,-,1,21
4/1/17 11:03,Georgetown,-,1,20
4/1/17 11:05,Georgetown,-,1,19
4/1/17 11:05,Georgetown,+,1,20
4/1/17 11:05,Georgetown,+,1,21
4/1/17 11:05,Georgetown,+,1,22
4/1/17 11:05,Georgetown,+,1,23
4/1/17 11:05,Georgetown,-,1,22
4/1/17 11:05,Georgetown,+,1,23
4/1/17 11:06,Georgetown,+,1,24
4/1/17 11:06,Georgetown,-,1,23
4/1/17 11:06,Georgetown,+,1,24
4/1/17 11:06,Georgetown,-,1,23
4/1/17 11:06,Georgetown,-,1,22
4/1/17 11:06,Georgetown,-,1,21
4/1/17 11:07,Georgetown,+,1,22
