datetime,temp,humidity,light,bluetooth_devices,bluetooth_non_personal_devices
3/11/2017 10:51,22.9,18.1,474,72,
3/11/2017 10:51,22.9,18.1,918,72,
3/11/2017 10:51,23,18.1,487,72,
3/11/2017 10:51,23,18.2,486,72,
3/11/2017 10:51,23,18.2,489,72,
3/11/2017 10:51,23,18.2,485,72,
3/11/2017 10:51,22.9,18.1,967,73,
3/11/2017 10:51,23,18.1,482,73,
3/11/2017 10:52,22.9,18.3,475,73,
3/11/2017 10:52,23,18.3,462,73,
3/11/2017 10:52,22.9,18.3,479,74,
3/11/2017 10:52,23,18.3,465,74,
3/11/2017 10:52,23,18.3,477,75,
3/11/2017 10:52,22.9,18.2,472,75,
3/11/2017 10:52,22.9,18.2,441,75,
3/11/2017 10:52,22.9,18.2,476,76,
3/11/2017 10:52,23,18.2,479,77,
3/11/2017 10:52,22.9,18.1,959,77,
3/11/2017 10:52,23,18.1,459,77,
3/11/2017 10:53,23,18.2,480,77,
3/11/2017 10:53,23,18.2,479,78,
3/11/2017 10:53,22.9,18.2,946,79,
3/11/2017 10:53,22.9,18.1,485,79,
3/11/2017 10:53,22.9,18.2,484,79,
3/11/2017 10:53,23,18.2,482,79,
3/11/2017 10:53,23,18.2,477,80,
3/11/2017 10:53,22.9,18.1,964,82,
3/11/2017 10:53,22.9,18,961,82,
3/11/2017 10:53,23,18.1,479,82,
3/11/2017 10:54,23,18.2,482,82,
3/11/2017 10:54,23,18.2,475,82,
3/11/2017 10:54,23,18.2,957,85,
3/11/2017 10:54,22.9,18,955,85,
3/11/2017 10:54,22.9,18.1,483,85,
3/11/2017 10:54,23,18.4,482,85,
3/11/2017 10:54,22.9,18.4,444,85,
3/11/2017 10:54,22.9,18.2,480,86,
3/11/2017 10:54,22.9,18.2,952,86,
3/11/2017 10:54,22.9,18.1,936,86,
3/11/2017 10:55,23,18.2,933,86,
3/11/2017 10:55,22.9,18.3,458,86,
3/11/2017 10:55,23,18.4,937,86,
3/11/2017 10:55,22.9,18.1,479,86,
3/11/2017 10:55,22.9,18.2,948,86,
3/11/2017 10:55,23,18.3,936,86,
3/11/2017 10:55,23,18.3,943,87,
